dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
73.75,0.09704378297282831,1,7,50,122.61179693397575,11.89871261156924,650.6419603311252
63.63235294117645,0.7290620476353927,1,3,50,121.0812780611137,88.27576451354591,738.9177248446712
72.75,0.09704378297282831,1,7,50,120.09657281926141,11.654625748452876,750.572350593124
71.75,0.2911313489184849,1,7,50,117.55434480277464,34.22375497366047,784.7961055667845
60.63235294117645,0.7290620476353927,1,3,50,115.13868496314672,83.94324542127815,868.7393509880626
69.75,0.19408756594565663,1,7,50,112.40154755072302,21.815742772644814,890.5550937607075
68.75,0.09704378297282831,1,7,50,109.79761223944458,10.655175653099416,901.2102694138068
69.875,0.14015663615038584,1,2,50,109.41300667082643,15.334958966082759,916.5452283798896
67.75,0.19408756594565663,1,7,50,107.17990814516664,20.80228749017445,937.3475158700641
56.63235294117645,0.7290620476353927,1,3,50,106.94628634943936,77.97047851292331,1015.3179943829873
55.63235294117645,0.7290620476353927,1,3,50,104.85821983877948,76.44814846706272,1091.76614285005
54.63235294117645,0.7290620476353927,1,3,50,102.7567820009,74.91606989399982,1166.6822127440498
67.74305555555557,0.18295300204372572,1,5,50,99.90639888569083,18.278175599515073,1184.960388343565
52.63235294117645,1.4581240952707855,1,3,50,98.51932302914815,143.6533987585669,1328.613787102132
66.74305555555557,0.18295300204372572,1,5,50,96.8219749271512,17.713870976724653,1346.3276580788565
51.63235294117645,2.187186142906177,1,3,50,96.38614569818131,210.814442239198,1557.1421003180544
50.63235294117645,0.7290620476353927,1,3,50,94.24527724503682,68.71065480823182,1625.8527551262862
48.63235294117645,0.7290620476353927,1,3,50,89.94641814161501,65.57651978779508,1691.4292749140814
63.74305555555557,0.7318120081749029,1,5,50,87.86512801657504,64.3007557823547,1755.730030696436
47.63235294117645,0.7290620476353927,1,3,50,87.79144249750823,64.00540883209818,1819.7354395285342
46.63235294117646,1.4581240952707855,1,3,50,85.63479733499132,124.86616138778129,1944.6016009163154
59.224999999999994,5.820557122775594,1,7,50,84.81731190672568,493.68400895337135,2438.2856098696866
45.63235294117646,2.916248190541571,1,3,50,83.47801054572656,243.44259720398526,2681.728207073672
61.74305555555557,0.5488590061311772,1,5,50,82.17226093012808,45.10098546566186,2726.8291925393337
44.63235294117646,1.4581240952707855,1,3,50,81.32261042269266,118.57845774764729,2845.407650286981
43.632352941176464,0.7290620476353927,1,3,50,79.17012133128254,57.719930769327334,2903.1275810563084
42.632352941176464,0.7290620476353927,1,3,50,77.0220594040177,56.153860342188,2959.2814413984966
59.74305555555557,0.18295300204372572,1,5,50,76.72611203203232,14.037272531403538,2973.3187139299002
58.74305555555557,0.18295300204372572,1,5,50,74.10056313586999,13.55692047883805,2986.8756344087383
54.91666666666664,0.2651480945652802,1,6,50,73.93477959529305,19.603665931795913,3006.4793003405343
57.74305555555557,0.18295300204372572,1,5,50,71.54213290594852,13.088847987754496,3019.5681483282888
51.875,0.14015663615038584,1,2,50,69.93130387000409,9.801336312030232,3029.369484640319
53.199999999999996,7.349669056400546,1,7,50,69.75804485749724,512.6985437241487,3542.068028364468
56.74305555555557,0.36590600408745144,1,5,50,69.05205070459523,25.266559947362527,3567.3345883118304
55.74305555555557,0.18295300204372572,1,5,50,66.63127732261209,12.190392216179905,3579.5249805280105
37.63235294117647,0.7290620476353927,1,3,50,66.40011647283879,48.40980487891642,3627.934785406927
36.63235294117648,0.7290620476353927,1,3,50,64.30947046273755,46.88559421791125,3674.820379624838
54.74305555555557,0.18295300204372572,1,5,50,64.28051440389429,11.760313083107413,3686.5806927079457
35.63235294117648,1.4581240952707855,1,3,50,62.233288936364175,90.7438581260614,3777.324550834007
53.74305555555557,0.18295300204372572,1,5,50,62.00021531793794,11.343125519774135,3788.667676353781
34.63235294117648,0.7290620476353927,1,3,50,60.17287816831344,43.869761769505615,3832.537438123287
52.74305555555557,0.36590600408745144,1,5,50,59.79059724938142,21.87773852152332,3854.4151766448103
33.632352941176485,0.7290620476353927,1,3,50,58.12950249101323,42.38001411412476,3896.795190758935
47.175,9.280492244847657,1,7,50,56.051737040820605,520.1877109175758,4416.982901676511
50.74305555555557,0.18295300204372572,1,5,50,55.58317121713091,10.169108037284508,4427.152009713795
49.74305555555557,0.36590600408745144,1,5,50,53.58473803095236,19.60697737297867,4446.758987086774
45.91666666666666,0.2651480945652802,1,6,50,53.40222296234205,14.159497664015248,4460.9184847507895
47.74305555555557,0.5488590061311772,1,5,50,49.795495556421024,27.330706200906693,4488.249190951697
